================================================================================
Search Response Debug v3.2.0
Session start: 2026-01-13 17:58:47
================================================================================

[2026-01-13 17:58:47] [INFO] [Thread-512752423064] ================================================================================
[2026-01-13 17:58:47] [INFO] [Thread-512752423064] 🚀 Search Response Debug v3.2.0 initializing...
[2026-01-13 17:58:47] [INFO] [Thread-512752423064] ================================================================================
[2026-01-13 17:58:47] [INFO] [Thread-493599114176] ================================================================================
[2026-01-13 17:58:47] [INFO] [Thread-493599114176] 🚀 Search Response Debug v3.2.0 loading...
[2026-01-13 17:58:47] [INFO] [Thread-493599114176] 🔧 Installing comprehensive search hooks...
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$-FbfQZYizZ-pWyztuZPPJfEPQR8
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$-HDB5AwrbXVAbwisdm-V8LnpLPQ
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$-SmLLROXU_ryHMGuGOzraDSDxfo
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$-XFYu1_ysSoQ9TzEenVAZNmj7TQ
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$-dXKvEUZEoRSc1LfIZZ4w2LKX04
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$-oOU5ykANU7tWyTIc8IkdbA5Ga8
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$04_sR5K14Hcs_D1qw7pZdkXWAU4
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$06ZenczqMmcr96ASQjRjKG5hBjw
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$0R8-jrFIC72T-rM0us8qIDMz5HU
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$0T4VO3V-mlqI7tCD3rGAtjvEqgA
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$0Zm9KQ6z46DFoBhjkp7LDnBknA0
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$0g1FkKZMQPXaPn-3eBhBPlvHSuI
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$0jIDwY_L9a5JBSP5h9PGpag1lE4
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$0s4f7joO3KBuO5eI-vMfdji4QtU
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$0vN6id5-37rl-B9n3lB3Awj9_aU
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$1-g0vnzxB-C7bvZwcGMBn6viKx8
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$18g461IJ5PQP8JdK2hGOyMOIk0E
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$1FIm3Q1cy-iR3y99-T6XmORO4qM
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$1H5wI2KFeDiftUDfiXnJg8y20PU
